OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
11;rgbImage;5;GroupErrorsForEveryBlock;10;Simple;495;233;55573;8100
131;rgbImage;0,05;ErrorsWithProbability;10;Simple;1291;1172;57448;8100
12;rgbImage;5;GroupErrorsForEveryBlock;16;Simple;510;214;59379;8100
132;rgbImage;0,05;ErrorsWithProbability;16;Simple;1284;1103;62457;8100
13;rgbImage;5;GroupErrorsForEveryBlock;24;Simple;525;222;57164;8100
133;rgbImage;0,05;ErrorsWithProbability;24;Simple;1350;1162;58888;8100
14;rgbImage;5;GroupErrorsForEveryBlock;32;Simple;545;226;60499;8100
134;rgbImage;0,05;ErrorsWithProbability;32;Simple;1408;1167;64064;8100
15;rgbImage;5;GroupErrorsForEveryBlock;40;Simple;565;193;53610;8100
135;rgbImage;0,05;ErrorsWithProbability;40;Simple;1455;1147;61641;8100
16;rgbImage;10;GroupErrorsForEveryBlock;10;Simple;990;388;62204;8100
136;rgbImage;0,1;ErrorsWithProbability;10;Simple;2526;2164;62833;8100
17;rgbImage;10;GroupErrorsForEveryBlock;16;Simple;1020;384;63850;8100
137;rgbImage;0,1;ErrorsWithProbability;16;Simple;2596;2192;62890;8100
18;rgbImage;10;GroupErrorsForEveryBlock;24;Simple;1050;399;62670;8100
138;rgbImage;0,1;ErrorsWithProbability;24;Simple;2681;2184;63711;8100
19;rgbImage;10;GroupErrorsForEveryBlock;32;Simple;1090;368;57069;8100
139;rgbImage;0,1;ErrorsWithProbability;32;Simple;2775;2152;62158;8100
20;rgbImage;10;GroupErrorsForEveryBlock;40;Simple;1130;398;62044;8100
140;rgbImage;0,1;ErrorsWithProbability;40;Simple;2951;2252;64776;8100
21;rgbImage;16;GroupErrorsForEveryBlock;10;Simple;1584;585;64413;8100
141;rgbImage;1;PercentageOfErrors;10;Simple;253;240;59836;8100
22;rgbImage;16;GroupErrorsForEveryBlock;16;Simple;1632;595;67117;8100
142;rgbImage;1;PercentageOfErrors;16;Simple;261;235;60003;8100
23;rgbImage;16;GroupErrorsForEveryBlock;24;Simple;1680;582;67934;8100
143;rgbImage;1;PercentageOfErrors;24;Simple;268;242;59618;8100
24;rgbImage;16;GroupErrorsForEveryBlock;32;Simple;1744;568;61726;8100
144;rgbImage;1;PercentageOfErrors;32;Simple;279;233;55238;8100
25;rgbImage;16;GroupErrorsForEveryBlock;40;Simple;1808;587;62338;8100
145;rgbImage;1;PercentageOfErrors;40;Simple;289;235;59216;8100
26;rgbImage;20;GroupErrorsForEveryBlock;10;Simple;1980;720;64435;8100
146;rgbImage;2;PercentageOfErrors;10;Simple;506;462;62864;8100
27;rgbImage;20;GroupErrorsForEveryBlock;16;Simple;2040;723;64735;8100
147;rgbImage;2;PercentageOfErrors;16;Simple;522;471;62737;8100
28;rgbImage;20;GroupErrorsForEveryBlock;24;Simple;2100;754;64775;8100
148;rgbImage;2;PercentageOfErrors;24;Simple;537;477;62561;8100
29;rgbImage;20;GroupErrorsForEveryBlock;32;Simple;2180;726;64855;8100
149;rgbImage;2;PercentageOfErrors;32;Simple;558;474;65120;8100
30;rgbImage;20;GroupErrorsForEveryBlock;40;Simple;2260;711;65750;8100
150;rgbImage;2;PercentageOfErrors;40;Simple;578;470;63127;8100
31;rgbImage;1;SingleErrorsForEveryBlock;10;Simple;99;95;67100;8100
151;rgbImage;5;PercentageOfErrors;10;Simple;1267;1118;66175;8100
32;rgbImage;1;SingleErrorsForEveryBlock;16;Simple;102;90;56196;8100
152;rgbImage;5;PercentageOfErrors;16;Simple;1305;1132;58892;8100
33;rgbImage;1;SingleErrorsForEveryBlock;24;Simple;105;89;52354;8100
153;rgbImage;5;PercentageOfErrors;24;Simple;1344;1148;57134;8100
34;rgbImage;1;SingleErrorsForEveryBlock;32;Simple;109;91;53817;8100
154;rgbImage;5;PercentageOfErrors;32;Simple;1395;1134;61555;8100
35;rgbImage;1;SingleErrorsForEveryBlock;40;Simple;113;91;55134;8100
155;rgbImage;5;PercentageOfErrors;40;Simple;1446;1120;62106;8100
36;rgbImage;2;SingleErrorsForEveryBlock;10;Simple;198;191;61524;8100
156;rgbImage;10;PercentageOfErrors;10;Simple;2534;2079;59511;8100
37;rgbImage;2;SingleErrorsForEveryBlock;16;Simple;204;183;59900;8100
157;rgbImage;10;PercentageOfErrors;16;Simple;2611;2101;57087;8100
38;rgbImage;2;SingleErrorsForEveryBlock;24;Simple;210;180;57120;8100
158;rgbImage;10;PercentageOfErrors;24;Simple;2688;2123;57454;8100
39;rgbImage;2;SingleErrorsForEveryBlock;32;Simple;218;185;56736;8100
159;rgbImage;10;PercentageOfErrors;32;Simple;2790;2028;56856;8100
40;rgbImage;2;SingleErrorsForEveryBlock;40;Simple;226;190;58613;8100
160;rgbImage;10;PercentageOfErrors;40;Simple;2892;2112;60088;8100
161;rgbImage;0,01;ErrorsWithProbability;10;Extended;272;45;629;8100
162;rgbImage;0,01;ErrorsWithProbability;16;Extended;275;1;530;8100
163;rgbImage;0,01;ErrorsWithProbability;24;Extended;273;1;588;8100
164;rgbImage;0,01;ErrorsWithProbability;32;Extended;260;2;650;8100
165;rgbImage;0,01;ErrorsWithProbability;40;Extended;306;2;767;8100
166;rgbImage;0,02;ErrorsWithProbability;10;Extended;515;285;564;8100
167;rgbImage;0,02;ErrorsWithProbability;16;Extended;485;53;575;8100
168;rgbImage;0,02;ErrorsWithProbability;24;Extended;513;0;604;8100
169;rgbImage;0,02;ErrorsWithProbability;32;Extended;581;4;647;8100
170;rgbImage;0,02;ErrorsWithProbability;40;Extended;598;2;667;8100
171;rgbImage;0,05;ErrorsWithProbability;10;Extended;1308;1175;604;8100
172;rgbImage;0,05;ErrorsWithProbability;16;Extended;1307;1086;566;8100
173;rgbImage;0,05;ErrorsWithProbability;24;Extended;1396;813;629;8100
174;rgbImage;0,05;ErrorsWithProbability;32;Extended;1426;307;660;8100
175;rgbImage;0,05;ErrorsWithProbability;40;Extended;1475;61;691;8100
176;rgbImage;0,1;ErrorsWithProbability;10;Extended;2533;2210;562;8100
177;rgbImage;0,1;ErrorsWithProbability;16;Extended;2603;2162;607;8100
178;rgbImage;0,1;ErrorsWithProbability;24;Extended;2699;2211;608;8100
179;rgbImage;0,1;ErrorsWithProbability;32;Extended;2875;2154;653;8100
180;rgbImage;0,1;ErrorsWithProbability;40;Extended;2854;1892;698;8100
181;rgbImage;1;PercentageOfErrors;10;Extended;253;40;560;8100
182;rgbImage;1;PercentageOfErrors;16;Extended;261;0;550;8100
183;rgbImage;1;PercentageOfErrors;24;Extended;268;1;591;8100
184;rgbImage;1;PercentageOfErrors;32;Extended;279;0;649;8100
185;rgbImage;1;PercentageOfErrors;40;Extended;289;2;668;8100
186;rgbImage;2;PercentageOfErrors;10;Extended;506;280;550;8100
187;rgbImage;2;PercentageOfErrors;16;Extended;522;51;585;8100
188;rgbImage;2;PercentageOfErrors;24;Extended;537;13;583;8100
189;rgbImage;2;PercentageOfErrors;32;Extended;558;6;615;8100
190;rgbImage;2;PercentageOfErrors;40;Extended;578;3;665;8100
191;rgbImage;5;PercentageOfErrors;10;Extended;1267;1133;536;8100
192;rgbImage;5;PercentageOfErrors;16;Extended;1305;1031;577;8100
193;rgbImage;5;PercentageOfErrors;24;Extended;1344;661;638;8100
194;rgbImage;5;PercentageOfErrors;32;Extended;1395;175;642;8100
195;rgbImage;5;PercentageOfErrors;40;Extended;1446;52;667;8100
196;rgbImage;10;PercentageOfErrors;10;Extended;2534;2115;549;8100
197;rgbImage;10;PercentageOfErrors;16;Extended;2611;2079;555;8100
198;rgbImage;10;PercentageOfErrors;24;Extended;2688;2069;604;8100
199;rgbImage;10;PercentageOfErrors;32;Extended;2790;2050;644;8100
200;rgbImage;10;PercentageOfErrors;40;Extended;2892;1723;686;8100
41;rgbImage;5;SingleErrorsForEveryBlock;10;Simple;495;462;74461;8100
48;rgbImage;10;SingleErrorsForEveryBlock;24;Simple;1050;880;57357;8100
42;rgbImage;5;SingleErrorsForEveryBlock;16;Simple;510;462;56837;8100
49;rgbImage;10;SingleErrorsForEveryBlock;32;Simple;1090;889;58507;8100
43;rgbImage;5;SingleErrorsForEveryBlock;24;Simple;525;469;59455;8100
50;rgbImage;10;SingleErrorsForEveryBlock;40;Simple;1130;908;59885;8100
44;rgbImage;5;SingleErrorsForEveryBlock;32;Simple;545;454;61514;8100
