OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
6;graySquare;2;GroupErrorsForEveryBlock;16;Simple;204;120;57383;8100
22;graySquare;1;SingleErrorsForEveryBlock;16;Simple;102;94;56551;8100
7;graySquare;2;GroupErrorsForEveryBlock;24;Simple;210;116;52466;8100
23;graySquare;1;SingleErrorsForEveryBlock;24;Simple;105;80;46897;8100
8;graySquare;2;GroupErrorsForEveryBlock;32;Simple;218;110;51220;8100
24;graySquare;1;SingleErrorsForEveryBlock;32;Simple;109;83;48537;8100
9;graySquare;5;GroupErrorsForEveryBlock;10;Simple;495;229;60942;8100
25;graySquare;2;SingleErrorsForEveryBlock;10;Simple;198;188;57564;8100
10;graySquare;5;GroupErrorsForEveryBlock;16;Simple;510;220;57446;8100
26;graySquare;2;SingleErrorsForEveryBlock;16;Simple;204;181;58827;8100
11;graySquare;5;GroupErrorsForEveryBlock;24;Simple;525;214;58758;8100
27;graySquare;2;SingleErrorsForEveryBlock;24;Simple;210;187;57758;8100
12;graySquare;5;GroupErrorsForEveryBlock;32;Simple;545;206;52473;8100
28;graySquare;2;SingleErrorsForEveryBlock;32;Simple;218;188;56551;8100
13;graySquare;10;GroupErrorsForEveryBlock;10;Simple;990;389;58381;8100
29;graySquare;5;SingleErrorsForEveryBlock;10;Simple;495;467;55624;8100
14;graySquare;10;GroupErrorsForEveryBlock;16;Simple;1020;402;57675;8100
30;graySquare;5;SingleErrorsForEveryBlock;16;Simple;510;465;57333;8100
15;graySquare;10;GroupErrorsForEveryBlock;24;Simple;1050;387;58941;8100
31;graySquare;5;SingleErrorsForEveryBlock;24;Simple;525;476;58938;8100
16;graySquare;10;GroupErrorsForEveryBlock;32;Simple;1090;347;56835;8100
32;graySquare;5;SingleErrorsForEveryBlock;32;Simple;545;462;59275;8100
17;graySquare;16;GroupErrorsForEveryBlock;10;Simple;1584;574;60093;8100
33;graySquare;10;SingleErrorsForEveryBlock;10;Simple;990;892;50747;8100
34;graySquare;10;SingleErrorsForEveryBlock;16;Simple;1020;904;45765;8100
35;graySquare;10;SingleErrorsForEveryBlock;24;Simple;1050;907;45659;8100
36;graySquare;10;SingleErrorsForEveryBlock;32;Simple;1090;863;46564;8100
37;graySquare;16;SingleErrorsForEveryBlock;10;Simple;1584;1390;44886;8100
38;graySquare;16;SingleErrorsForEveryBlock;16;Simple;1632;1367;45979;8100
39;graySquare;16;SingleErrorsForEveryBlock;24;Simple;1680;1382;45308;8100
40;graySquare;16;SingleErrorsForEveryBlock;32;Simple;1744;1386;46149;8100
41;lenaColor;1;GroupErrorsForEveryBlock;10;Extended;99;1;552;8100
42;lenaColor;1;GroupErrorsForEveryBlock;16;Extended;102;1;590;8100
43;lenaColor;1;GroupErrorsForEveryBlock;24;Extended;105;0;569;8100
44;lenaColor;1;GroupErrorsForEveryBlock;32;Extended;109;0;604;8100
45;lenaColor;2;GroupErrorsForEveryBlock;10;Extended;198;0;544;8100
46;lenaColor;2;GroupErrorsForEveryBlock;16;Extended;204;0;544;8100
47;lenaColor;2;GroupErrorsForEveryBlock;24;Extended;210;0;610;8100
48;lenaColor;2;GroupErrorsForEveryBlock;32;Extended;218;0;634;8100
49;lenaColor;5;GroupErrorsForEveryBlock;10;Extended;495;1;510;8100
50;lenaColor;5;GroupErrorsForEveryBlock;16;Extended;510;0;561;8100
51;lenaColor;5;GroupErrorsForEveryBlock;24;Extended;525;0;589;8100
52;lenaColor;5;GroupErrorsForEveryBlock;32;Extended;545;1;622;8100
53;lenaColor;10;GroupErrorsForEveryBlock;10;Extended;990;391;529;8100
54;lenaColor;10;GroupErrorsForEveryBlock;16;Extended;1020;388;543;8100
55;lenaColor;10;GroupErrorsForEveryBlock;24;Extended;1050;0;695;8100
56;lenaColor;10;GroupErrorsForEveryBlock;32;Extended;1090;0;666;8100
57;lenaColor;16;GroupErrorsForEveryBlock;10;Extended;1584;590;543;8100
58;lenaColor;16;GroupErrorsForEveryBlock;16;Extended;1632;597;651;8100
59;lenaColor;16;GroupErrorsForEveryBlock;24;Extended;1680;593;637;8100
60;lenaColor;16;GroupErrorsForEveryBlock;32;Extended;1744;0;627;8100
61;lenaColor;1;SingleErrorsForEveryBlock;10;Extended;99;0;559;8100
62;lenaColor;1;SingleErrorsForEveryBlock;16;Extended;102;0;585;8100
63;lenaColor;1;SingleErrorsForEveryBlock;24;Extended;105;1;602;8100
64;lenaColor;1;SingleErrorsForEveryBlock;32;Extended;109;0;643;8100
65;lenaColor;2;SingleErrorsForEveryBlock;10;Extended;198;1;591;8100
66;lenaColor;2;SingleErrorsForEveryBlock;16;Extended;204;2;631;8100
67;lenaColor;2;SingleErrorsForEveryBlock;24;Extended;210;1;604;8100
68;lenaColor;2;SingleErrorsForEveryBlock;32;Extended;218;0;644;8100
69;lenaColor;5;SingleErrorsForEveryBlock;10;Extended;495;0;578;8100
70;lenaColor;5;SingleErrorsForEveryBlock;16;Extended;510;6;581;8100
71;lenaColor;5;SingleErrorsForEveryBlock;24;Extended;525;2;611;8100
72;lenaColor;5;SingleErrorsForEveryBlock;32;Extended;545;5;753;8100
73;lenaColor;10;SingleErrorsForEveryBlock;10;Extended;990;901;559;8100
74;lenaColor;10;SingleErrorsForEveryBlock;16;Extended;1020;893;558;8100
75;lenaColor;10;SingleErrorsForEveryBlock;24;Extended;1050;6;592;8100
76;lenaColor;10;SingleErrorsForEveryBlock;32;Extended;1090;7;650;8100
77;lenaColor;16;SingleErrorsForEveryBlock;10;Extended;1584;1383;584;8100
78;lenaColor;16;SingleErrorsForEveryBlock;16;Extended;1632;1401;584;8100
79;lenaColor;16;SingleErrorsForEveryBlock;24;Extended;1680;1412;604;8100
80;lenaColor;16;SingleErrorsForEveryBlock;32;Extended;1744;10;645;8100
1;lenaColor;1;GroupErrorsForEveryBlock;10;Simple;99;91;68246;8100
2;lenaColor;1;GroupErrorsForEveryBlock;16;Simple;102;94;55191;8100
18;lenaColor;16;GroupErrorsForEveryBlock;16;Simple;1632;586;55298;8100
3;lenaColor;1;GroupErrorsForEveryBlock;24;Simple;105;89;49131;8100
19;lenaColor;16;GroupErrorsForEveryBlock;24;Simple;1680;593;56003;8100
4;lenaColor;1;GroupErrorsForEveryBlock;32;Simple;109;87;49784;8100
5;lenaColor;2;GroupErrorsForEveryBlock;10;Simple;198;123;53766;8100
